rank,category,product_concept,pl_opportunity_score,demand_score,competition_score,subscription_score,trend_score,market_gap_score,tiktok_shop_fit,market_size,potential_customer_problems,concept_rationale,tiktok_angle
13,Candles & Holders,Clean Scent Candle Subscription (Natural Soy + Botanicals),69.1,20,100,65,50,32,HIGH,~$500M US home fragrance / candle accessories,Desire for aesthetic home decor that creates atmosphere | Gifting occasion without knowing recipient's scent preferences | Tealight holders that match modern interior design styles,"Actual scented candles, not holders. Subscription model in a category where holders dominate Amazon. Low competition for branded scented candles at $25–$35. DTC first, Amazon second.","Slow-burn aesthetic videos, 'Sunday reset' candle ritual content"
14,Yoga Mats,Beginner Yoga Starter System (Mat + Blocks + Strap),69.0,75,100,30,15,53,HIGH,~$600M yoga equipment US,Mat slipping during hot yoga and sweat-heavy practice | Portability: heavy mats difficult to carry to studio | Alignment guides for beginners not built into mats,"New yoga practitioners need everything at once. Curated beginner bundle vs buying pieces separately. Soft, alignment-guide-printed mat + accessories. Reduces beginner anxiety.","Beginner yoga journey content, '30-day yoga challenge' TikTok series"
15,Reusable Straws,Compatible Replacement Straw Ecosystem (Owala + Stanley),67.5,20,100,30,50,70,MODERATE,~$130M eco drinkware segment,Metal straws transfer metallic taste to beverages | Hard to clean interior without proper brush | No brand differentiation beyond material type,"The #9 ranked product in our report (XZESH, CLEAN integrity) is already doing $5,475/mo with fewer reviews. A branded 'compatible replacement' line for the 3 biggest water bottle brands.","Stanley cup TikToks, 'Owala accessories you need' micro-niche content"
16,Resistance Bands,Travel Resistance Workout System (Hotel Gym Alternative),66.7,66,100,35,15,66,HIGH,~$1.1B home fitness equipment,"Bands snap or degrade quickly under repeated tension | Generic loop band sets with no progression system | Declining search trend (market maturing, feature parity)","Compact resistance bands + door anchor + carry case. Target: frequent business travelers who want to maintain training. Specific, underserved, premium pricing justified.","Travel fitness TikToks, 'hotel room workout' content, 'gym in your bag'"
17,Dog Treats & Chews,Monthly Functional Dog Treat Subscription Box,66.6,20,100,100,50,20,HIGH,~$9B US dog food/treat market,"Artificial preservatives and ingredients in mass-market treats | Need for multi-functional treats (training + dental + digestion) | Owners want treats that reinforce health outcomes, not just taste","Curated monthly treats built around a health theme (dental month, joint health month, etc.). Owned subscriber relationship vs one-time purchase. Builds brand community.","Unboxing content, 'what my dog got this month' series"
18,Cooking Utensils,The Sourdough Baking Kit,66.6,37,100,20,50,81,HIGH,~$1.2B kitchen tools segment,Generic 33-piece sets with tools that never get used | Handle staining and dishwasher degradation over time | No brand story or identity in an anonymous market,"Micro-niche: specialized tools for the sourdough trend (bench scraper, lame, Dutch oven handles, proofing bowl). No general kitchen brand owns this. High intent, specific customer.","Sourdough bread TikToks, 'baking tools you need' education content"
19,Reusable Straws,Botanical Glass Straw + Herb Infuser Bundle,64.8,20,100,30,50,70,MODERATE,~$130M eco drinkware segment,Metal straws transfer metallic taste to beverages | Hard to clean interior without proper brush | No brand differentiation beyond material type,"Glass straws paired with a fruit/herb infuser insert. Aesthetic, TikTok-native, solves 'boring water' problem. Glass eliminates metal taste. Premium price $24–$32 vs $11 commodity.","Hydration routine TikToks, 'aesthetic water' content, wellness aesthetic"
20,Oven Mitts & Potholders,Aesthetic Linen + Silicone Kitchen Protection Brand,64.2,20,100,20,50,66,MODERATE,~$180M kitchen protection,"Cheap oven mitts fail heat resistance above 400°F | Ugly, generic designs clash with aesthetic kitchens | Single-use designs vs. multi-surface protection sets","The potholders market is 83% suspicious — almost no clean brand. A premium linen-exterior, silicone-interior set at $28–$35 with a brand story wins on trust and kitchen aesthetics.","Kitchen aesthetic TikToks, 'upgrade your kitchen' home decor content"
21,Ice Cube Molds & Trays,Whiskey + Spirits Connoisseur Ice Bundle,64.0,20,100,25,60,62,HIGH,~$200M cocktail/entertaining accessories,"Diluted cocktails from regular ice melting too fast | Boring, identical ice shapes for entertaining | No complete 'cocktail aesthetic' product system",Sphere ice + whiskey stone alternative + branded pouch. Gift-first SKU. Spirits enthusiasts are high LTV and spend $45–$75 on accessories. Almost no brand owns this on Amazon.,"Whiskey content creators, 'upgrade your home bar' gift guides"
22,Yoga Mats,Travel + Studio Foldable Yoga Mat,63.0,75,100,30,15,53,HIGH,~$600M yoga equipment US,Mat slipping during hot yoga and sweat-heavy practice | Portability: heavy mats difficult to carry to studio | Alignment guides for beginners not built into mats,"Portable, foldable design for yogis who practice between home and studio. Target: working professionals who travel. Premium $45–$55 positioning vs commodity $20–$25 mats.","Travel lifestyle TikToks, 'yoga anywhere' content, wellness travel aesthetic"
23,Oven Mitts & Potholders,Matching Kitchen Textile Bundle (Mitts + Towels + Apron),61.7,20,100,20,50,66,MODERATE,~$180M kitchen protection,"Cheap oven mitts fail heat resistance above 400°F | Ugly, generic designs clash with aesthetic kitchens | Single-use designs vs. multi-surface protection sets",Expand single-SKU into a branded kitchen textile line. Increases AOV from $15 → $55. Creates a brand identity around kitchen aesthetics. Gifting angle strong.,"Kitchen organization TikToks, gift guide content, 'host a dinner party' aesthetic"
24,Candles & Holders,Gifting Candle Holder Collection (Holiday + Everyday),60.8,20,100,65,50,32,HIGH,~$500M US home fragrance / candle accessories,Desire for aesthetic home decor that creates atmosphere | Gifting occasion without knowing recipient's scent preferences | Tealight holders that match modern interior design styles,Candle holders positioned explicitly as gifts. Bundle 6 votives + display tray. Gift market amplifies AOV. The 12/15 products under 1K reviews means almost zero gifting brand exists here.,"Gift guide TikToks, 'gifts under $30' content, holiday aesthetic"
25,Reusable Straws,Eco Kitchen Starter Bundle (Straws + Silicone Lids + Produce Bags),59.4,20,100,30,50,70,MODERATE,~$130M eco drinkware segment,Metal straws transfer metallic taste to beverages | Hard to clean interior without proper brush | No brand differentiation beyond material type,Expands the reusable straw purchase into a zero-waste kitchen starter kit. AOV moves from $11 to $35. One brand owning the eco kitchen transition narrative.,"Zero-waste lifestyle TikToks, 'swap for sustainable' content series"
